mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6922,,"{'TODOS': 7, 'CAMBIO': 23, 'MORENA': 6, 'VAMOS': 145, 'PIN': 1, 'RENOVADOR': 23, 'VALOR': 53, 'AZUL': 4, 'UNE': 6, 'FCN-NACION': 1, 'PODEMOS': 1, 'UC': 0}",5,30,305,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6923,,"{'TODOS': 2, 'CAMBIO': 24, 'MORENA': 5, 'VAMOS': 153, 'PIN': 1, 'RENOVADOR': 34, 'VALOR': 57, 'AZUL': 5, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 0}",2,14,302,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6924,,"{'TODOS': 6, 'CAMBIO': 24, 'MORENA': 3, 'VAMOS': 144, 'PIN': 0, 'RENOVADOR': 18, 'VALOR': 71, 'AZUL': 5, 'UNE': 3, 'FCN-NACION': 1, 'PODEMOS': 4, 'UC': 1}",2,19,301,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6925,,"{'TODOS': 3, 'CAMBIO': 27, 'MORENA': 3, 'VAMOS': 152, 'PIN': 0, 'RENOVADOR': 19, 'VALOR': 69, 'AZUL': 1, 'UNE': 3, 'FCN-NACION': 2, 'PODEMOS': 2, 'UC': 0}",0,9,290,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6926,,"{'TODOS': 0, 'CAMBIO': 0, 'MORENA': 0, 'VAMOS': 0, 'PIN': 0, 'RENOVADOR': 0, 'VALOR': 0, 'AZUL': 0, 'UNE': 0, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",0,0,0,0,,Acta en Blanco,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6927,,"{'TODOS': 8, 'CAMBIO': 24, 'MORENA': 4, 'VAMOS': 144, 'PIN': 0, 'RENOVADOR': 14, 'VALOR': 66, 'AZUL': 0, 'UNE': 2, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 1}",4,11,278,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6928,,"{'TODOS': 9, 'CAMBIO': 12, 'MORENA': 3, 'VAMOS': 159, 'PIN': 1, 'RENOVADOR': 21, 'VALOR': 55, 'AZUL': 1, 'UNE': 2, 'FCN-NACION': 1, 'PODEMOS': 0, 'UC': 0}",2,5,271,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6929,,"{'TODOS': 6, 'CAMBIO': 25, 'MORENA': 1, 'VAMOS': 150, 'PIN': 0, 'RENOVADOR': 16, 'VALOR': 45, 'AZUL': 2, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 1}",2,13,263,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6930,,"{'TODOS': 8, 'CAMBIO': 15, 'MORENA': 1, 'VAMOS': 151, 'PIN': 0, 'RENOVADOR': 17, 'VALOR': 56, 'AZUL': 1, 'UNE': 2, 'FCN-NACION': 0, 'PODEMOS': 3, 'UC': 0}",6,18,278,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6931,,"{'TODOS': 2, 'CAMBIO': 16, 'MORENA': 1, 'VAMOS': 149, 'PIN': 1, 'RENOVADOR': 21, 'VALOR': 64, 'AZUL': 2, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",4,1,262,11,0,,0758,El Progreso,San Agustín Acasaguastlán,alcalde
